idx,alpha,a,b,c,d,e,f,1,2,3,4,5,6,beta
alpha,0.0,37.039163116441756,43.01193924094906,46.004996613161616,43.03584526901156,43.07246243495447,45.96197523681622,45.973288641283,37.94924464047013,39.01969867815427,35.95481792758665,48.00657788590238,41.0107746814669,13.985396415912177
a,10.14261552391661,0.0,12.920829247823654,13.9166570521896,10.213771991172358,7.858989516146504,10.198629357511127,12.477837679309449,7.3830628091999255,11.510067156409297,13.616409420817208,10.088300710674428,8.029327532232598,10.429494289194178
b,9.211189942569867,8.132359500548919,0.0,12.19925826014456,15.489887573943482,13.14422145476695,10.519517801241982,10.87429096969873,7.6942716801905995,11.257889470503251,13.730636159621943,10.502236823233309,9.259045360822666,8.7456425071264
c,12.81321648694171,14.441777900770537,13.073647754964732,0.0,11.590621692297363,15.17406980927511,16.399852279957976,13.373600204634458,15.521435900397197,17.046955241980875,10.661163353975631,16.637125832036304,6.7094131548797655,15.757868194713383
d,16.63498952400465,16.471562675675678,13.854543725473382,6.4,0.0,19.25140286614087,8.388473206892966,21.943669018056266,15.0945539598209,17.33267815385104,11.399919777571734,12.20426075756351,8.018512739506262,13.539507682552335
e,11.966057201933832,6.975355433581144,10.980306739740858,8.119891708035286,9.121481267649195,0.0,13.050913104181042,7.960838594393853,10.000783337916925,8.992909038053764,8.11990395748257,8.004155565910953,12.052775769838115,10.116817465297363
f,9.963971339249854,9.563532184962137,16.109281598385806,7.174868908488521,14.335862384438744,10.189393938189415,0.0,13.6,19.505479006039838,14.877327536049018,15.368641064032984,11.740593989892123,14.258869925942527,12.814179250546701
1,17.779403342765395,9.82645119239945,8.695249515153016,6.626605221447253,11.639179208945894,11.121280001190689,15.29399605791714,0.0,14.597429338970331,11.627836658191608,16.863292108570462,8.713928740281972,11.017175375565147,14.510240986199133
2,10.977420183323872,9.870992568274842,8.201571743798239,14.760735673115377,9.8805091053895,9.587318804731076,10.446645268337845,7.7118944390832755,0.0,7.946422100066656,9.607384873857551,12.08017828900236,9.339269222787516,7.759765911527668
3,16.853393170714035,12.522471370764402,11.744641095655536,11.364795992004813,13.922424271127337,19.340405181261342,16.78512460473435,15.47697012326007,9.366347830914721,0.0,14.44491888538058,16.393927422619157,10.88445442949981,9.152590794894074
4,17.0,15.299999999999999,14.073890504257188,14.980147238262793,8.10579332222568,11.9,14.227328075630803,15.021443941508837,8.66163895954417,11.9,0.0,14.699111980537541,8.0,9.898386838823514
5,14.661751136435068,10.785321349992675,8.922549162676,13.891434888719365,11.406832224320206,7.280558428812989,7.257477016526809,6.996142336455075,12.822744869549451,7.233322535765925,7.287336283216566,0.0,13.428032996658747,7.375252976543637
6,12.780687307550828,12.578442405825184,10.270265658971864,12.181829096587004,8.865997286341479,10.721032044636532,8.833430928208257,9.566596886111272,9.576399834425626,8.865010738778864,11.548604604536266,10.45488446809827,0.0,12.642257939899805
beta,17.993546575211795,38.02735075753147,36.0088353435397,36.010455709240496,46.048101498593255,47.05284314056445,35.968460641809,36.960926592571795,48.96463825532973,35.01759189964872,40.972744373085334,47.99932820318053,36.01609543029594,0.0
